iteration dataset variable_type variable_source variable_name spatial_frequency_bin spatial_region MSAV PSD MAV R
0 train anatomy model a_pred all all "<xarray.DataArray 'anatomy' ()> Size: 8B
array(0.)
Coordinates:
    frequency  int32 4B 90
    variable   <U6 24B 'a_pred'"   "<xarray.DataArray 'anatomy' ()> Size: 8B
array(nan)
Coordinates:
    frequency  int32 4B 90"
0 train anatomy model a_pred 1.0 all    
0 train anatomy model a_pred 2.0 all  0.0  
0 train anatomy model a_pred 3.0 all  0.0  
0 train anatomy model a_pred 4.0 all  0.0  
0 train anatomy model a_pred 5.0 all  0.0  
0 train anatomy model a_pred 6.0 all  0.0  
0 train anatomy model a_pred 7.0 all  0.0  
0 train anatomy model a_pred 8.0 all  0.0  
0 train anatomy model a_pred 9.0 all  0.0  
0 train anatomy model a_pred 10.0 all  0.0  
0 train anatomy model a_pred all 1   0.0 
0 train anatomy model a_pred all 2   0.0 
0 train anatomy model a_pred all 3   0.0 
0 train anatomy model a_pred all 4   0.0 
0 train anatomy model a_pred all 5   0.0 
0 train anatomy residual a_diff all all "<xarray.DataArray 'anatomy' ()> Size: 8B
array(0.)
Coordinates:
    frequency  int32 4B 90
    variable   <U6 24B 'a_diff'"   
0 train anatomy residual a_diff 1.0 all    
0 train anatomy residual a_diff 2.0 all  0.0  
0 train anatomy residual a_diff 3.0 all  0.0  
0 train anatomy residual a_diff 4.0 all  0.0  
0 train anatomy residual a_diff 5.0 all  0.0  
0 train anatomy residual a_diff 6.0 all  0.0  
0 train anatomy residual a_diff 7.0 all  0.0  
0 train anatomy residual a_diff 8.0 all  0.0  
0 train anatomy residual a_diff 9.0 all  0.0  
0 train anatomy residual a_diff 10.0 all  0.0  
0 train anatomy residual a_diff all 1   0.0 
0 train anatomy residual a_diff all 2   0.0 
0 train anatomy residual a_diff all 3   0.0 
0 train anatomy residual a_diff all 4   0.0 
0 train anatomy residual a_diff all 5   0.0 
0 train anatomy reference a_true all all "<xarray.DataArray 'anatomy' ()> Size: 8B
array(0.)
Coordinates:
    frequency  int32 4B 90
    variable   <U6 24B 'a_true'"   
0 train anatomy reference a_true 1.0 all    
0 train anatomy reference a_true 2.0 all  0.0  
0 train anatomy reference a_true 3.0 all  0.0  
0 train anatomy reference a_true 4.0 all  0.0  
0 train anatomy reference a_true 5.0 all  0.0  
0 train anatomy reference a_true 6.0 all  0.0  
0 train anatomy reference a_true 7.0 all  0.0  
0 train anatomy reference a_true 8.0 all  0.0  
0 train anatomy reference a_true 9.0 all  0.0  
0 train anatomy reference a_true 10.0 all  0.0  
0 train anatomy reference a_true all 1   0.0 
0 train anatomy reference a_true all 2   0.0 
0 train anatomy reference a_true all 3   0.0 
0 train anatomy reference a_true all 4   0.0 
0 train anatomy reference a_true all 5   0.0 
0 train "wave field" model u_pred all all "<xarray.DataArray 'wave field' ()> Size: 8B
array(0.00058071)
Coordinates:
    frequency  int32 4B 90
    variable   <U6 24B 'u_pred'"   "<xarray.DataArray 'wave field' ()> Size: 8B
array(0.69296511)
Coordinates:
    frequency  int32 4B 90"
0 train "wave field" model u_pred 1.0 all    
0 train "wave field" model u_pred 2.0 all  0.07678093037955741  
0 train "wave field" model u_pred 3.0 all  0.001115015982501725  
0 train "wave field" model u_pred 4.0 all  0.007564660905130563  
0 train "wave field" model u_pred 5.0 all  9.164356804791771e-05  
0 train "wave field" model u_pred 6.0 all  0.001115338867472704  
0 train "wave field" model u_pred 7.0 all  2.372334716756631e-05  
0 train "wave field" model u_pred 8.0 all  0.0003749138038599651  
0 train "wave field" model u_pred 9.0 all  1.0057046598831412e-05  
0 train "wave field" model u_pred 10.0 all  8.199122234929454e-06  
0 train "wave field" model u_pred all 1   0.003122614685821523 
0 train "wave field" model u_pred all 2   0.001977473082850704 
0 train "wave field" model u_pred all 3   0.0014199880467449062 
0 train "wave field" model u_pred all 4   0.0017724184021176092 
0 train "wave field" model u_pred all 5   0.0023205826901370966 
0 train "wave field" residual u_diff all all "<xarray.DataArray 'wave field' ()> Size: 8B
array(0.00057934)
Coordinates:
    frequency  int32 4B 90
    variable   <U6 24B 'u_diff'"   
0 train "wave field" residual u_diff 1.0 all    
0 train "wave field" residual u_diff 2.0 all  0.07728189107739923  
0 train "wave field" residual u_diff 3.0 all  0.0009082723793734016  
0 train "wave field" residual u_diff 4.0 all  0.007528622829647169  
0 train "wave field" residual u_diff 5.0 all  7.819139171161323e-05  
0 train "wave field" residual u_diff 6.0 all  0.0011094366688978402  
0 train "wave field" residual u_diff 7.0 all  2.0450134285081836e-05  
0 train "wave field" residual u_diff 8.0 all  0.0003728390354075204  
0 train "wave field" residual u_diff 9.0 all  8.706463465515428e-06  
0 train "wave field" residual u_diff 10.0 all  7.07922270883876e-06  
0 train "wave field" residual u_diff all 1   0.003098995242133488 
0 train "wave field" residual u_diff all 2   0.002059784614834396 
0 train "wave field" residual u_diff all 3   0.0013761033437323144 
0 train "wave field" residual u_diff all 4   0.0015435173843444548 
0 train "wave field" residual u_diff all 5   0.002131692305935567 
0 train "wave field" reference u_true all all "<xarray.DataArray 'wave field' ()> Size: 8B
array(8.17413279e-06)
Coordinates:
    frequency  int32 4B 90
    variable   <U6 24B 'u_true'"   
0 train "wave field" reference u_true 1.0 all    
0 train "wave field" reference u_true 2.0 all  0.0018081447307282212  
0 train "wave field" reference u_true 3.0 all  3.0008013650165038e-05  
0 train "wave field" reference u_true 4.0 all  3.792388045034782e-06  
0 train "wave field" reference u_true 5.0 all  1.0333118454197226e-06  
0 train "wave field" reference u_true 6.0 all  5.050347507677982e-07  
